20220102 我们的祖先,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0eb6516dcf4d4a059a7e69924524a028/main.m3u8
2021,#genre#
20211226 科幻大师（7）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/df8a958a9b3843fc8f7f34a493fa9371/main.m3u8
20211219 科幻大师（6）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/46ffb7fd63fd49a784067f2b0afb2e6b/main.m3u8
20211212 科幻大师（5）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/44f6cf66c6c8435c9a0bd786049ef0f5/main.m3u8
20211205 科幻大师（4）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b2f4dba627ad4e1590cc2d0ea0c11010/main.m3u8
20211128 科幻大师（3）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d620afff607f403d9dfe7d259bfb241c/main.m3u8
20211121 科幻大师（2）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b932f9d2eaca42508d3457264ad8c521/main.m3u8
20211120 科幻大师（1）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/97d55131108d44dd9d1707ed1d4b1e30/main.m3u8
20211107 御火有术,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/f3a1ec624b7a44518d3d7383281c6a09/main.m3u8
20211031 超能力隐身术,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/8af284046fd04748a05f40cc0d7a014d/main.m3u8
20211024 听觉的秘密,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2e1ce46b5ee84d11822fa98be768c331/main.m3u8
20211017 宝石探奇,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/90e8080cd48846658c85aa9e411e9c33/main.m3u8
20211010 抚慰心灵,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/abd615dba2354a07a5442345826055a0/main.m3u8
20211009 生存在月球,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/df495491277d4df5a6ea136d8ff73c22/main.m3u8
20210926 味觉的奥秘（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/0a1c7ec916c740daa9e2211a19402177/main.m3u8
20210919 味觉的奥秘（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/335b9a85190c47d7a810e829cf578112/main.m3u8
20210912 战场上的机器人,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/70b596a4fb824672bb88451af9d23708/main.m3u8
